env,total_pairs,relevant_pairs,irrelevant_pairs,method,seed,episode,sample_return,greedy_return,baseline
lever_20_pairs,20,4,16,shared,7,540,1.90234375,2.0,1.9283129952942821
lever_20_pairs,20,4,16,shared,7,560,1.94140625,2.0,1.908800135650345
lever_20_pairs,20,4,16,shared,7,580,1.921875,2.0,1.9000327219345927
lever_20_pairs,20,4,16,shared,7,600,1.98046875,2.0,1.933261048248876
lever_20_pairs,20,4,16,shared,7,620,1.9609375,2.0,1.9554445437843708
lever_20_pairs,20,4,16,shared,7,640,1.98046875,2.0,1.9702544222452611
lever_20_pairs,20,4,16,shared,7,660,1.94140625,2.0,1.9609160554349725
lever_20_pairs,20,4,16,shared,7,680,1.98046875,2.0,1.9739072470407535
lever_20_pairs,20,4,16,shared,7,700,1.8828125,2.0,1.964116042553236
lever_20_pairs,20,4,16,shared,7,720,1.94140625,2.0,1.9294355640304197
lever_20_pairs,20,4,16,shared,7,740,1.90234375,2.0,1.9307445605027056
lever_20_pairs,20,4,16,shared,7,760,1.8828125,2.0,1.9171605735012756
lever_20_pairs,20,4,16,shared,7,780,1.9609375,2.0,1.9446957384938315
lever_20_pairs,20,4,16,shared,7,800,1.98046875,2.0,1.963078434146453
lever_20_pairs,20,4,16,shared,8,1,0.50390625,0.25,0.005
lever_20_pairs,20,4,16,shared,8,20,0.65625,2.0,0.18565407320608895
lever_20_pairs,20,4,16,shared,8,40,0.97265625,2.0,0.4174164007845148
lever_20_pairs,20,4,16,shared,8,60,1.3203125,2.0,0.7045736042671916
lever_20_pairs,20,4,16,shared,8,80,1.4765625,2.0,0.9290792227215888
lever_20_pairs,20,4,16,shared,8,100,1.46875,2.0,1.076671916869153
lever_20_pairs,20,4,16,shared,8,120,1.640625,2.0,1.2454782701926035
lever_20_pairs,20,4,16,shared,8,140,1.57421875,2.0,1.4510700147965383
lever_20_pairs,20,4,16,shared,8,160,1.6796875,2.0,1.5312912799250218
lever_20_pairs,20,4,16,shared,8,180,1.765625,2.0,1.6018199467093175
lever_20_pairs,20,4,16,shared,8,200,1.765625,2.0,1.6676709042560183
lever_20_pairs,20,4,16,shared,8,220,1.8828125,2.0,1.7164549049125621
lever_20_pairs,20,4,16,shared,8,240,1.7421875,2.0,1.7902762139953814
lever_20_pairs,20,4,16,shared,8,260,1.90234375,2.0,1.8241441177590962
lever_20_pairs,20,4,16,shared,8,280,1.76171875,2.0,1.839171498628928
