env,variant,method,lambda,beta,seed,episode,sample_return,greedy_return,baseline
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,200,1.8828125,2.0,1.6709943811735934
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,220,1.8046875,2.0,1.7088081819647563
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,240,1.70703125,2.0,1.7371155096349322
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,260,1.84375,2.0,1.8036525245282518
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,280,1.90234375,2.0,1.8284792728696473
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,300,1.8203125,2.0,1.8662658355150439
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,320,1.87890625,2.0,1.8493136960345853
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,340,1.921875,2.0,1.899400622238378
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,360,1.91796875,2.0,1.8927490338467414
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,380,1.84375,2.0,1.8897509411816784
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,4,400,1.90234375,2.0,1.9263968494543922
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,1,0.54296875,2.0,0.01
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,20,0.74609375,2.0,0.22291367917790836
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,40,0.89453125,2.0,0.3795386503477726
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,60,1.234375,2.0,0.5215978470811938
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,80,1.296875,2.0,0.8280489774501147
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,100,1.578125,2.0,1.027557317811295
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,120,1.6875,2.0,1.1946123232657415
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,140,1.6171875,2.0,1.3571263684103276
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,160,1.703125,2.0,1.5207895480421334
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,180,1.74609375,2.0,1.5282910121470357
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,200,1.75390625,2.0,1.5904454994408337
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,220,1.8359375,2.0,1.5960490732068204
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,240,1.78125,2.0,1.6285158329699416
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,260,1.8359375,2.0,1.7024942087099315
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,280,1.9609375,2.0,1.8013827620914429
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,300,1.86328125,2.0,1.808029137806708
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,320,1.94140625,2.0,1.8718387220550596
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,340,1.859375,2.0,1.9144385091736378
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,360,1.91796875,2.0,1.8597393367662165
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,380,1.921875,2.0,1.8680609719309273
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,5,400,1.90234375,2.0,1.8713722662074275
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,1,0.66796875,2.0,0.04
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,20,0.76953125,2.0,0.2752686335131704
delayed_lever,abs_lam0.00_beta0.75,acct,0.0,0.75,6,40,0.90625,2.0,0.5797486001117974
