env,method,top_fraction,seed,episode,sample_return,greedy_return,baseline
delayed_lever,learned_pruned_acct,0.10,2,520,1.921875,2.0,1.9483624004790312
delayed_lever,learned_pruned_acct,0.10,2,540,1.94140625,2.0,1.9655263269175036
delayed_lever,learned_pruned_acct,0.10,2,560,1.9609375,2.0,1.933135903181678
delayed_lever,learned_pruned_acct,0.10,2,580,1.9609375,2.0,1.9553609959398837
delayed_lever,learned_pruned_acct,0.10,2,600,1.8984375,2.0,1.9701986450382585
delayed_lever,learned_pruned_acct,0.10,2,620,1.9609375,2.0,1.980104377858438
delayed_lever,learned_pruned_acct,0.10,2,640,1.90234375,2.0,1.9867175240552661
delayed_lever,learned_pruned_acct,0.10,2,660,1.9609375,2.0,1.9446204198377777
delayed_lever,learned_pruned_acct,0.10,2,680,1.921875,2.0,1.9263794171118827
delayed_lever,learned_pruned_acct,0.10,2,700,1.98046875,2.0,1.9067323938852658
delayed_lever,learned_pruned_acct,0.10,2,720,1.98046875,2.0,1.9377338026512891
delayed_lever,learned_pruned_acct,0.10,2,740,1.9609375,2.0,1.9584305902791246
delayed_lever,learned_pruned_acct,0.10,2,760,1.98046875,2.0,1.9472479306891894
delayed_lever,learned_pruned_acct,0.10,2,780,2.0,2.0,1.9647822980015255
delayed_lever,learned_pruned_acct,0.10,2,800,1.9609375,2.0,1.9157771346953656
delayed_lever,learned_pruned_acct,0.10,3,1,0.5703125,0.75,0.01
delayed_lever,learned_pruned_acct,0.10,3,20,0.50390625,2.0,0.17302981661720915
delayed_lever,learned_pruned_acct,0.10,3,40,0.7421875,2.0,0.3354429964915973
delayed_lever,learned_pruned_acct,0.10,3,60,0.83203125,2.0,0.5068954125021299
delayed_lever,learned_pruned_acct,0.10,3,80,1.046875,2.0,0.5764358914088229
delayed_lever,learned_pruned_acct,0.10,3,100,1.203125,2.0,0.7783145109530923
delayed_lever,learned_pruned_acct,0.10,3,120,1.19140625,2.0,1.0034605113760573
delayed_lever,learned_pruned_acct,0.10,3,140,1.546875,2.0,1.1522895157400153
delayed_lever,learned_pruned_acct,0.10,3,160,1.7578125,2.0,1.2853848120739084
delayed_lever,learned_pruned_acct,0.10,3,180,1.6640625,2.0,1.3600581099401616
delayed_lever,learned_pruned_acct,0.10,3,200,1.734375,2.0,1.465261506568143
delayed_lever,learned_pruned_acct,0.10,3,220,1.85546875,2.0,1.5857468320330412
delayed_lever,learned_pruned_acct,0.10,3,240,1.84375,2.0,1.6792157230089537
delayed_lever,learned_pruned_acct,0.10,3,260,1.84375,2.0,1.7613418594670833
delayed_lever,learned_pruned_acct,0.10,3,280,1.87890625,2.0,1.7800910234812346
delayed_lever,learned_pruned_acct,0.10,3,300,1.84375,2.0,1.818075586789626
delayed_lever,learned_pruned_acct,0.10,3,320,1.90234375,2.0,1.8234161002891998
delayed_lever,learned_pruned_acct,0.10,3,340,1.921875,2.0,1.859965121347868
delayed_lever,learned_pruned_acct,0.10,3,360,1.90234375,2.0,1.9065115986880794
delayed_lever,learned_pruned_acct,0.10,3,380,1.90234375,2.0,1.8724963784115254
delayed_lever,learned_pruned_acct,0.10,3,400,1.90234375,2.0,1.9148775657998895
delayed_lever,learned_pruned_acct,0.10,3,420,1.86328125,2.0,1.9038636627334191
delayed_lever,learned_pruned_acct,0.10,3,440,1.94140625,2.0,1.9169775663286217
delayed_lever,learned_pruned_acct,0.10,3,460,1.86328125,2.0,1.9233044858819344
delayed_lever,learned_pruned_acct,0.10,3,480,1.859375,2.0,1.9252676633769241
delayed_lever,learned_pruned_acct,0.10,3,500,1.90234375,2.0,1.9084122005858157
delayed_lever,learned_pruned_acct,0.10,3,520,1.98046875,2.0,1.9388552549955844
delayed_lever,learned_pruned_acct,0.10,3,540,1.98046875,2.0,1.9591792808041197
delayed_lever,learned_pruned_acct,0.10,3,560,1.84375,2.0,1.953522202720551
delayed_lever,learned_pruned_acct,0.10,3,580,1.9609375,2.0,1.9689710520266228
delayed_lever,learned_pruned_acct,0.10,3,600,2.0,2.0,1.9552628864553054
delayed_lever,learned_pruned_acct,0.10,3,620,2.0,2.0,1.947535126444249
delayed_lever,learned_pruned_acct,0.10,3,640,1.921875,2.0,1.9649740321770575
delayed_lever,learned_pruned_acct,0.10,3,660,1.94140625,2.0,1.9581521570968308
delayed_lever,learned_pruned_acct,0.10,3,680,1.9609375,2.0,1.9720620464770893
delayed_lever,learned_pruned_acct,0.10,3,700,1.98046875,2.0,1.9639700162421552
delayed_lever,learned_pruned_acct,0.10,3,720,1.9609375,2.0,1.9759460956210562
delayed_lever,learned_pruned_acct,0.10,3,740,1.9609375,2.0,1.9391425461202374
