env,perturbation,method,seed,episode,sample_return,greedy_return,baseline
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,140,0.7890625,2.0,0.6714949293442686
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,160,0.89453125,2.0,0.7196497996893182
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,180,0.8359375,2.0,0.7192224804305967
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,200,0.98046875,2.0,0.8804300320722035
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,220,1.08203125,2.0,0.9504674916415301
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,240,0.98828125,2.0,0.8758085813689599
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,260,1.09765625,2.0,1.0166015384538276
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,280,1.23046875,2.0,1.0063766714467777
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,300,1.1015625,2.0,1.0151383295755843
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,320,1.390625,2.0,1.1180835188931462
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,340,1.31640625,2.0,1.2195960953152434
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,360,1.26171875,2.0,1.2416177184203367
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,380,1.41015625,2.0,1.294579614173213
delayed_lever,scale_0.25,perturbed_agent_time_cf,4,400,1.484375,2.0,1.4200851152325247
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,1,0.54296875,2.0,0.01
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,20,0.578125,2.0,0.20046291047785883
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,40,0.59765625,2.0,0.3186184573484597
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,60,0.67578125,2.0,0.3966475602405725
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,80,0.63671875,2.0,0.49407253554690606
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,100,0.7890625,2.0,0.6049784392934398
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,120,0.7734375,2.0,0.6952964496485233
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,140,0.7890625,2.0,0.7433950021736654
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,160,0.875,2.0,0.7501708561279862
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,180,0.9921875,2.0,0.7289602726432258
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,200,0.8828125,2.0,0.7809789297118391
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,220,1.06640625,2.0,0.8761218151787852
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,240,1.0703125,2.0,0.945271207730299
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,260,1.140625,2.0,0.9987145795216469
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,280,1.390625,2.0,1.1019087555975624
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,300,1.28125,2.0,1.1428797507927475
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,320,1.33203125,2.0,1.2090808185215995
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,340,1.16015625,2.0,1.2236938624033173
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,360,1.28125,2.0,1.2604575949338164
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,380,1.34765625,2.0,1.2857268001133388
delayed_lever,scale_0.25,perturbed_agent_time_cf,5,400,1.5078125,2.0,1.3158058830122938
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,1,0.6328125,2.0,0.04
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,20,0.578125,2.0,0.2570337648551015
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,40,0.61328125,2.0,0.37958527891150934
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,60,0.5703125,2.0,0.4482819843009954
delayed_lever,scale_0.25,perturbed_agent_time_cf,6,80,0.77734375,2.0,0.5291671809539438
